"business_id","Score","date","type"
2453,"78","20130115","routine"
24534,"93","20130109","routine"
2454,"89","20130318","routine"
2455,"100","20130425","routine"
2468,"81","20130122","routine"
24752,"88","20130322","routine"
2493,"87","20130110","routine"
24978,"96","20130318","routine"
2501,"100","20130108","routine"
2505,"90","20130513","routine"
25050,"80","20130220","routine"
2507,"100","20130508","routine"
251,"88","20130315","routine"
2519,"94","20130228","routine"
2523,"94","20130419","routine"
253,"98","20130501","routine"
25374,"88","20130211","routine"
25375,"92","20130510","routine"
25387,"85","20130416","routine"
2540,"89","20130425","routine"
2544,"78","20130205","routine"
2548,"90","20130212","routine"
2549,"83","20130321","routine"
2553,"100","20130328","routine"
2555,"86","20130419","routine"
2559,"90","20130416","routine"
256,"98","20130319","routine"
2561,"62","20130501","routine"
257,"96","20130114","routine"
25777,"100","20130110","routine"
2578,"100","20130207","routine"
2579,"98","20130313","routine"
258,"94","20130405","routine"
2580,"91","20130501","routine"
25878,"94","20130110","routine"
2588,"94","20130124","routine"
2590,"96","20130306","routine"
2592,"98","20130116","routine"
2596,"92","20130318","routine"
2599,"76","20130102","routine"
2601,"86","20130110","routine"
2609,"79","20130201","routine"
2610,"80","20130417","routine"
2613,"96","20130423","routine"
2633,"92","20130213","routine"
26340,"77","20130416","routine"
26343,"75","20130410","routine"
2643,"98","20130109","routine"
2645,"94","20130102","routine"
2646,"96","20130415","routine"
2648,"81","20130123","routine"
2649,"94","20130313","routine"
2652,"96","20130129","routine"
2653,"94","20130115","routine"
2664,"88","20130116","routine"
2671,"72","20130501","routine"
26764,"96","20130222","routine"
2678,"92","20130508","routine"
26830,"96","20130308","routine"
2689,"98","20130225","routine"
2692,"100","20130118","routine"
2702,"93","20130410","routine"
2704,"94","20130508","routine"
27052,"87","20130109","routine"
27053,"85","20130107","routine"
27055,"98","20130205","routine"
27056,"85","20130320","routine"
2716,"90","20130322","routine"
27167,"88","20130329","routine"
2721,"98","20130114","routine"
2731,"100","20130509","routine"
2733,"84","20130115","routine"
27350,"100","20130123","routine"
27377,"83","20130208","routine"
274,"88","20130130","routine"
2749,"91","20130508","routine"
275,"87","20130424","routine"
2751,"91","20130415","routine"
27557,"88","20130327","routine"
2756,"94","20130212","routine"
2758,"94","20130212","routine"
2766,"87","20130412","routine"
27667,"87","20130108","routine"
2767,"88","20130124","routine"
2768,"98","20130214","routine"
27680,"82","20130319","routine"
27781,"100","20130103","routine"
27786,"98","20130405","routine"
27790,"96","20130426","routine"
27791,"84","20130307","routine"
27793,"89","20130114","routine"
27797,"100","20130326","routine"
27799,"89","20130111","routine"
2780,"100","20130319","routine"
27852,"90","20130312","routine"
27854,"87","20130109","routine"
27874,"92","20130205","routine"
27949,"75","20130513","routine"
27949,"79","20130116","routine"
27964,"94","20130429","routine"
2797,"87","20130107","routine"
27986,"98","20130320","routine"
28016,"100","20130112","routine"
2810,"100","20130425","routine"
2818,"96","20130103","routine"
28193,"96","20130102","routine"
28209,"91","20130326","routine"
